symbol	geneid	oe_lof	oe_mis	pLI	pRec	pNull
DHH	ENSG00000139549	2.6114e-01	7.0045e-01	2.2445e-01	7.6844e-01	7.1122e-03
DHODH	1723	4.1394e-01	1.0614e+00	2.9884e-03	9.8621e-01	1.0801e-02
DHODH	ENSG00000102967	4.1394e-01	1.0614e+00	2.9884e-03	9.8621e-01	1.0801e-02
DHPS	1725	5.0024e-01	1.0725e+00	1.6305e-04	9.7204e-01	2.7796e-02
DHPS	ENSG00000095059	5.0024e-01	1.0725e+00	1.6305e-04	9.7204e-01	2.7796e-02
DHRS1	115817	1.2164e+00	9.4541e-01	3.9562e-15	3.1797e-03	9.9682e-01
DHRS1	ENSG00000157379	1.2164e+00	9.4541e-01	3.9562e-15	3.1797e-03	9.9682e-01
DHRS11	79154	7.8401e-01	8.7432e-01	2.2434e-06	4.9315e-01	5.0685e-01
DHRS11	ENSG00000108272	7.8401e-01	8.7432e-01	2.2434e-06	4.9315e-01	5.0685e-01
DHRS12	79758	8.1605e-01	9.4732e-01	1.0374e-08	3.2207e-01	6.7793e-01
DHRS12	ENSG00000102796	8.1605e-01	9.4732e-01	1.0374e-08	3.2207e-01	6.7793e-01
DHRS13	147015	4.1672e-01	8.9433e-01	2.5578e-02	9.2350e-01	5.0922e-02
DHRS13	ENSG00000167536	4.1672e-01	8.9433e-01	2.5578e-02	9.2350e-01	5.0922e-02
DHRS2	10202	8.7767e-01	1.2389e+00	8.7228e-07	3.1901e-01	6.8099e-01
DHRS2	ENSG00000100867	8.7767e-01	1.2389e+00	8.7228e-07	3.1901e-01	6.8099e-01
DHRS3	9249	2.6067e-01	6.9854e-01	2.2581e-01	7.6717e-01	7.0225e-03
DHRS3	ENSG00000162496	2.6067e-01	6.9854e-01	2.2581e-01	7.6717e-01	7.0225e-03
DHRS4	10901	7.5192e-01	1.3225e+00	1.0222e-05	5.7949e-01	4.2050e-01
DHRS4	ENSG00000157326	7.5192e-01	1.3225e+00	1.0222e-05	5.7949e-01	4.2050e-01
DHRS4-AS1	55449	NA	7.4187e-01	NA	NA	NA
DHRS4-AS1	ENSG00000197775	NA	7.4187e-01	NA	NA	NA
DHRS4L2	317749	9.4633e-01	1.5042e+00	4.6376e-07	2.3106e-01	7.6893e-01
DHRS4L2	ENSG00000187630	9.4633e-01	1.5042e+00	4.6376e-07	2.3106e-01	7.6893e-01
DHRS7	51635	9.9376e-01	9.8400e-01	9.8631e-12	4.3911e-02	9.5609e-01
DHRS7	ENSG00000100612	9.9376e-01	9.8400e-01	9.8631e-12	4.3911e-02	9.5609e-01
DHRS7B	25979	9.4380e-01	8.5034e-01	6.7664e-09	1.4304e-01	8.5696e-01
DHRS7B	ENSG00000109016	9.4380e-01	8.5034e-01	6.7664e-09	1.4304e-01	8.5696e-01
DHRS7C	201140	9.3000e-01	9.2549e-01	3.2734e-08	1.8424e-01	8.1576e-01
DHRS7C	ENSG00000184544	9.3000e-01	9.2549e-01	3.2734e-08	1.8424e-01	8.1576e-01
DHRS9	10170	9.9289e-01	1.2252e+00	7.2309e-08	1.5478e-01	8.4522e-01
DHRS9	ENSG00000073737	9.9289e-01	1.2252e+00	7.2309e-08	1.5478e-01	8.4522e-01
DHRSX	207063	6.3747e-01	9.4911e-01	2.6081e-04	7.9063e-01	2.0911e-01
DHRSX	ENSG00000169084	6.3747e-01	9.4911e-01	2.6081e-04	7.9063e-01	2.0911e-01
DHTKD1	55526	9.7492e-01	1.0142e+00	2.7884e-30	9.5109e-05	9.9990e-01
DHTKD1	ENSG00000181192	9.7492e-01	1.0142e+00	2.7884e-30	9.5109e-05	9.9990e-01
DHX15	1665	2.2077e-02	2.5451e-01	1.0000e+00	4.0830e-07	1.0574e-17
DHX15	ENSG00000109606	2.2077e-02	2.5451e-01	1.0000e+00	4.0830e-07	1.0574e-17
DHX16	8449	4.7244e-01	6.5629e-01	1.5996e-12	9.9999e-01	5.0879e-06
DHX16	ENSG00000204560	4.7244e-01	6.5629e-01	1.5996e-12	9.9999e-01	5.0879e-06
DHX29	54505	3.8276e-01	7.9248e-01	3.7730e-09	1.0000e+00	8.8246e-09
DHX29	ENSG00000067248	3.8276e-01	7.9248e-01	3.7730e-09	1.0000e+00	8.8246e-09
DHX30	22907	3.6387e-02	4.6078e-01	1.0000e+00	5.7089e-08	1.7745e-20
DHX30	ENSG00000132153	3.6387e-02	4.6078e-01	1.0000e+00	5.7089e-08	1.7745e-20
DHX32	55760	6.0549e-01	8.2327e-01	1.6487e-09	9.5451e-01	4.5487e-02
DHX32	ENSG00000089876	6.0549e-01	8.2327e-01	1.6487e-09	9.5451e-01	4.5487e-02
DHX33	56919	4.3399e-01	9.3678e-01	9.1366e-06	9.9936e-01	6.3205e-04
DHX33	ENSG00000005100	4.3399e-01	9.3678e-01	9.1366e-06	9.9936e-01	6.3205e-04
DHX34	9704	5.5988e-01	1.0087e+00	6.5588e-13	9.9780e-01	2.1973e-03
DHX34	ENSG00000134815	5.5988e-01	1.0087e+00	6.5588e-13	9.9780e-01	2.1973e-03
DHX35	60625	8.7159e-01	9.3394e-01	4.3653e-25	4.1227e-03	9.9588e-01
DHX35	ENSG00000101452	8.7159e-01	9.3394e-01	4.3653e-25	4.1227e-03	9.9588e-01
DHX36	170506	2.2228e-01	7.7429e-01	4.7221e-01	5.2779e-01	2.2795e-11
DHX36	ENSG00000174953	2.2228e-01	7.7429e-01	4.7221e-01	5.2779e-01	2.2795e-11
DHX37	57647	1.7032e-01	8.1007e-01	9.9252e-01	7.4807e-03	1.4709e-13
DHX37	ENSG00000150990	1.7032e-01	8.1007e-01	9.9252e-01	7.4807e-03	1.4709e-13
DHX38	9785	4.5217e-01	7.3231e-01	2.1124e-12	1.0000e+00	6.9062e-07
DHX38	ENSG00000140829	4.5217e-01	7.3231e-01	2.1124e-12	1.0000e+00	6.9062e-07
DHX40	79665	2.0079e-01	5.6032e-01	7.5560e-01	2.4440e-01	2.5924e-08
DHX40	ENSG00000108406	2.0079e-01	5.6032e-01	7.5560e-01	2.4440e-01	2.5924e-08
DHX57	90957	5.1331e-01	1.0988e+00	9.0569e-16	9.9998e-01	1.6042e-05
DHX57	ENSG00000163214	5.1331e-01	1.0988e+00	9.0569e-16	9.9998e-01	1.6042e-05
DHX58	79132	7.7785e-01	9.2897e-01	3.2013e-13	2.6722e-01	7.3278e-01
DHX58	ENSG00000108771	7.7785e-01	9.2897e-01	3.2013e-13	2.6722e-01	7.3278e-01
DHX8	1659	3.4960e-01	4.7127e-01	9.1546e-07	1.0000e+00	9.7915e-09
DHX8	ENSG00000067596	3.4960e-01	4.7127e-01	9.1546e-07	1.0000e+00	9.7915e-09
DHX9	1660	4.0774e-02	3.7788e-01	1.0000e+00	2.8175e-10	8.6391e-27
DHX9	ENSG00000135829	4.0774e-02	3.7788e-01	1.0000e+00	2.8175e-10	8.6391e-27
DIABLO	56616	7.7106e-01	1.2820e+00	2.5722e-06	5.2189e-01	4.7811e-01
DIABLO	ENSG00000184047	7.7106e-01	1.2820e+00	2.5722e-06	5.2189e-01	4.7811e-01
DIAPH1	1729	1.9731e-01	8.1835e-01	9.1507e-01	8.4926e-02	2.5146e-12
DIAPH1	ENSG00000131504	1.9731e-01	8.1835e-01	9.1507e-01	8.4926e-02	2.5146e-12
DIAPH2	1730	1.4331e-01	7.2763e-01	9.9443e-01	5.5729e-03	4.2715e-11
DIAPH2	ENSG00000147202	1.4331e-01	7.2763e-01	9.9443e-01	5.5729e-03	4.2715e-11
DIAPH3	81624	5.5777e-01	9.7100e-01	1.9877e-15	9.9937e-01	6.2547e-04
DIAPH3	ENSG00000139734	5.5777e-01	9.7100e-01	1.9877e-15	9.9937e-01	6.2547e-04
DICER1	23405	9.1986e-02	6.2440e-01	1.0000e+00	7.1662e-09	7.7680e-27
DICER1	ENSG00000100697	9.1986e-02	6.2440e-01	1.0000e+00	7.1662e-09	7.7680e-27
DIDO1	11083	1.0344e-01	9.1759e-01	1.0000e+00	2.6286e-07	5.0236e-23
DIDO1	ENSG00000101191	1.0344e-01	9.1759e-01	1.0000e+00	2.6286e-07	5.0236e-23
DIEXF	27042	4.4777e-01	9.1990e-01	1.2381e-06	9.9954e-01	4.5653e-04
DIEXF	ENSG00000117597	4.4777e-01	9.1990e-01	1.2381e-06	9.9954e-01	4.5653e-04
DIMT1	27292	6.5170e-01	9.3121e-01	3.9098e-07	8.2128e-01	1.7872e-01
DIMT1	ENSG00000086189	6.5170e-01	9.3121e-01	3.9098e-07	8.2128e-01	1.7872e-01
DIO1	1733	1.7716e-01	8.8738e-01	5.8399e-01	4.1403e-01	1.9744e-03
DIO1	ENSG00000211452	1.7716e-01	8.8738e-01	5.8399e-01	4.1403e-01	1.9744e-03
DIO2	1734	1.7117e-01	7.9914e-01	6.1960e-01	3.7894e-01	1.4617e-03
DIO2	ENSG00000211448	1.7117e-01	7.9914e-01	6.1960e-01	3.7894e-01	1.4617e-03
DIO3	1735	1.3596e-01	6.1970e-01	6.2331e-01	3.6994e-01	6.7546e-03
DIO3	ENSG00000197406	1.3596e-01	6.1970e-01	6.2331e-01	3.6994e-01	6.7546e-03
DIP2A	23181	2.3870e-01	7.6146e-01	1.1301e-01	8.8699e-01	1.0545e-12
DIP2A	ENSG00000160305	2.3870e-01	7.6146e-01	1.1301e-01	8.8699e-01	1.0545e-12
DIP2B	57609	1.7526e-01	7.0153e-01	9.9924e-01	7.6293e-04	3.8450e-20
DIP2B	ENSG00000066084	1.7526e-01	7.0153e-01	9.9924e-01	7.6293e-04	3.8450e-20
DIP2C	22982	7.9428e-02	5.8441e-01	1.0000e+00	8.9231e-10	2.4007e-28
DIP2C	ENSG00000151240	7.9428e-02	5.8441e-01	1.0000e+00	8.9231e-10	2.4007e-28
DIRAS1	148252	2.0339e-01	5.1951e-01	3.8800e-01	5.7323e-01	3.8770e-02
DIRAS1	ENSG00000176490	2.0339e-01	5.1951e-01	3.8800e-01	5.7323e-01	3.8770e-02
DIRAS2	54769	1.7143e-01	5.0768e-01	4.7802e-01	5.0125e-01	2.0722e-02
DIRAS2	ENSG00000165023	1.7143e-01	5.0768e-01	4.7802e-01	5.0125e-01	2.0722e-02
DIRAS3	9077	NA	7.6689e-01	NA	NA	NA
DIRAS3	ENSG00000162595	NA	7.6689e-01	NA	NA	NA
DIRC1	116093	NA	1.0283e+00	NA	NA	NA
DIRC1	ENSG00000174325	NA	1.0283e+00	NA	NA	NA
DIRC2	84925	7.6139e-01	7.6254e-01	2.2526e-09	4.4709e-01	5.5291e-01
DIRC2	ENSG00000138463	7.6139e-01	7.6254e-01	2.2526e-09	4.4709e-01	5.5291e-01
DIRC3	729582	1.7039e+00	1.1000e+00	3.4129e-07	5.6489e-02	9.4351e-01
DIRC3	ENSG00000231672	1.7039e+00	1.1000e+00	3.4129e-07	5.6489e-02	9.4351e-01
DIS3	22894	7.7053e-01	9.1302e-01	1.2694e-21	1.1635e-01	8.8365e-01
DIS3	ENSG00000083520	7.7053e-01	9.1302e-01	1.2694e-21	1.1635e-01	8.8365e-01
DIS3L	115752	6.9971e-01	8.9018e-01	1.4172e-18	6.7507e-01	3.2493e-01
DIS3L	ENSG00000166938	6.9971e-01	8.9018e-01	1.4172e-18	6.7507e-01	3.2493e-01
DIS3L2	129563	1.8027e-01	8.8551e-01	9.4400e-01	5.6000e-02	5.2020e-10
DIS3L2	ENSG00000144535	1.8027e-01	8.8551e-01	9.4400e-01	5.6000e-02	5.2020e-10
DISC1	27185	5.0467e-01	9.4166e-01	1.6756e-06	9.9289e-01	7.1048e-03
DISC1	ENSG00000162946	5.0467e-01	9.4166e-01	1.6756e-06	9.9289e-01	7.1048e-03
DISP1	84976	4.1399e-01	9.0770e-01	8.8581e-08	9.9999e-01	6.8394e-06
DISP1	ENSG00000154309	4.1399e-01	9.0770e-01	8.8581e-08	9.9999e-01	6.8394e-06
DISP2	85455	2.3855e-01	9.0955e-01	1.9897e-01	8.0103e-01	1.2995e-07
DISP2	ENSG00000140323	2.3855e-01	9.0955e-01	1.9897e-01	8.0103e-01	1.2995e-07
DIXDC1	85458	5.3359e-01	7.9277e-01	7.3213e-11	9.9849e-01	1.5067e-03
DIXDC1	ENSG00000150764	5.3359e-01	7.9277e-01	7.3213e-11	9.9849e-01	1.5067e-03
DKC1	1736	4.0178e-02	3.3179e-01	9.9916e-01	8.4146e-04	1.2509e-09
DKC1	ENSG00000130826	4.0178e-02	3.3179e-01	9.9916e-01	8.4146e-04	1.2509e-09
DKFZP434O1614	ENSG00000258729	NA	8.4288e-01	NA	NA	NA
DKFZP667F0711	ENSG00000212743	NA	8.2307e-01	NA	NA	NA
DKFZP761J1410	ENSG00000105520	5.4600e-02	7.1681e-01	9.9025e-01	9.7497e-03	4.9479e-07
DKFZP779J2370	ENSG00000214397	8.5806e-01	7.3967e-01	3.0253e-02	6.1158e-01	3.5816e-01
DKK1	22943	2.8151e-01	9.5972e-01	1.7423e-01	8.1400e-01	1.1773e-02
DKK1	ENSG00000107984	2.8151e-01	9.5972e-01	1.7423e-01	8.1400e-01	1.1773e-02
DKK2	27123	1.4974e-01	9.0571e-01	7.5318e-01	2.4643e-01	3.8717e-04
DKK2	ENSG00000155011	1.4974e-01	9.0571e-01	7.5318e-01	2.4643e-01	3.8717e-04
DKK3	27122	6.3399e-01	8.4124e-01	4.1049e-06	8.4162e-01	1.5837e-01
DKK3	ENSG00000050165	6.3399e-01	8.4124e-01	4.1049e-06	8.4162e-01	1.5837e-01
DKK4	27121	6.3296e-01	9.4464e-01	7.6744e-04	7.8416e-01	2.1507e-01
DKK4	ENSG00000104371	6.3296e-01	9.4464e-01	7.6744e-04	7.8416e-01	2.1507e-01
DKKL1	27120	7.2958e-01	1.0367e+00	3.9771e-04	6.4986e-01	3.4975e-01
DKKL1	ENSG00000104901	7.2958e-01	1.0367e+00	3.9771e-04	6.4986e-01	3.4975e-01
DLAT	1737	5.7520e-01	9.3820e-01	2.2998e-08	9.7351e-01	2.6495e-02
DLAT	ENSG00000150768	5.7520e-01	9.3820e-01	2.2998e-08	9.7351e-01	2.6495e-02
DLC1	10395	1.5182e-01	1.2783e+00	9.9948e-01	5.1890e-04	2.1900e-16
DLC1	ENSG00000164741	1.5182e-01	1.2783e+00	9.9948e-01	5.1890e-04	2.1900e-16
DLD	1738	3.1235e-01	8.1224e-01	9.5142e-03	9.9040e-01	8.4728e-05
DLD	ENSG00000091140	3.1235e-01	8.1224e-01	9.5142e-03	9.9040e-01	8.4728e-05
DLEC1	9940	7.4352e-01	1.0444e+00	2.1303e-35	8.4841e-02	9.1516e-01
DLEC1	ENSG00000008226	7.4352e-01	1.0444e+00	2.1303e-35	8.4841e-02	9.1516e-01
DLEU1	10301	0.0000e+00	6.9667e-01	4.7033e-01	4.4935e-01	8.0319e-02
DLEU1	ENSG00000176124	0.0000e+00	6.9667e-01	4.7033e-01	4.4935e-01	8.0319e-02
DLEU2L	79469	0.0000e+00	8.4027e-01	3.7476e-01	4.8870e-01	1.3655e-01
DLEU2L	ENSG00000116652	0.0000e+00	8.4027e-01	3.7476e-01	4.8870e-01	1.3655e-01
DLEU7	220107	3.9046e-01	7.1117e-01	1.8452e-01	6.5785e-01	1.5763e-01
DLEU7	ENSG00000186047	3.9046e-01	7.1117e-01	1.8452e-01	6.5785e-01	1.5763e-01
DLG1	1739	1.6870e-01	8.1116e-01	9.9393e-01	6.0693e-03	8.8210e-14
DLG1	ENSG00000075711	1.6870e-01	8.1116e-01	9.9393e-01	6.0693e-03	8.8210e-14
DLG2	1740	2.1228e-01	7.4745e-01	7.0796e-01	2.9204e-01	1.4898e-11
DLG2	ENSG00000150672	2.1228e-01	7.4745e-01	7.0796e-01	2.9204e-01	1.4898e-11
DLG3	1741	0.0000e+00	5.5698e-01	9.9999e-01	7.0334e-06	5.3614e-14
DLG3	ENSG00000082458	0.0000e+00	5.5698e-01	9.9999e-01	7.0334e-06	5.3614e-14
DLG4	1742	1.1327e-01	3.6457e-01	9.9954e-01	4.6000e-04	4.8137e-13
DLG4	ENSG00000132535	1.1327e-01	3.6457e-01	9.9954e-01	4.6000e-04	4.8137e-13
DLG5	9231	1.6769e-01	7.8684e-01	9.9948e-01	5.2258e-04	3.7350e-19
DLG5	ENSG00000151208	1.6769e-01	7.8684e-01	9.9948e-01	5.2258e-04	3.7350e-19
DLGAP1	9229	1.2058e-01	6.4079e-01	9.9875e-01	1.2510e-03	5.5129e-12
DLGAP1	ENSG00000170579	1.2058e-01	6.4079e-01	9.9875e-01	1.2510e-03	5.5129e-12
DLGAP2	9228	7.6806e-02	1.1108e+00	9.9989e-01	1.1381e-04	3.9134e-13
DLGAP2	ENSG00000198010	7.6806e-02	1.1108e+00	9.9989e-01	1.1381e-04	3.9134e-13
DLGAP3	58512	2.8591e-02	6.9699e-01	9.9998e-01	1.9364e-05	1.2786e-13
DLGAP3	ENSG00000116544	2.8591e-02	6.9699e-01	9.9998e-01	1.9364e-05	1.2786e-13
DLGAP4	22839	1.3641e-01	6.9326e-01	9.9248e-01	7.5183e-03	4.3899e-10
DLGAP4	ENSG00000080845	1.3641e-01	6.9326e-01	9.9248e-01	7.5183e-03	4.3899e-10
DLGAP5	9787	6.5941e-01	9.8503e-01	1.1806e-14	8.9179e-01	1.0821e-01
DLGAP5	ENSG00000126787	6.5941e-01	9.8503e-01	1.1806e-14	8.9179e-01	1.0821e-01
DLK1	8788	3.3977e-01	8.9772e-01	3.4576e-02	9.5811e-01	7.3107e-03
DLK1	ENSG00000185559	3.3977e-01	8.9772e-01	3.4576e-02	9.5811e-01	7.3107e-03
DLK2	65989	1.4552e-01	6.5687e-01	7.7915e-01	2.2057e-01	2.8151e-04
DLK2	ENSG00000171462	1.4552e-01	6.5687e-01	7.7915e-01	2.2057e-01	2.8151e-04
DLL1	28514	0.0000e+00	7.5713e-01	9.9999e-01	1.3612e-05	2.6777e-13
DLL1	ENSG00000198719	0.0000e+00	7.5713e-01	9.9999e-01	1.3612e-05	2.6777e-13
DLL3	10683	5.1481e-01	9.4934e-01	5.3576e-05	9.7214e-01	2.7809e-02
DLL3	ENSG00000090932	5.1481e-01	9.4934e-01	5.3576e-05	9.7214e-01	2.7809e-02
DLL4	54567	5.9792e-02	6.3059e-01	9.9982e-01	1.7831e-04	5.7746e-12
DLL4	ENSG00000128917	5.9792e-02	6.3059e-01	9.9982e-01	1.7831e-04	5.7746e-12
DLST	1743	2.1336e-01	8.9909e-01	4.8474e-01	5.1522e-01	3.6407e-05
DLST	ENSG00000119689	2.1336e-01	8.9909e-01	4.8474e-01	5.1522e-01	3.6407e-05
DLX1	1745	0.0000e+00	5.6881e-01	9.6232e-01	3.7608e-02	6.8278e-05
DLX1	ENSG00000144355	0.0000e+00	5.6881e-01	9.6232e-01	3.7608e-02	6.8278e-05
DLX2	1746	0.0000e+00	7.9902e-01	9.7847e-01	2.1517e-02	1.7109e-05
DLX2	ENSG00000115844	0.0000e+00	7.9902e-01	9.7847e-01	2.1517e-02	1.7109e-05
DLX3	1747	4.9130e-01	7.9281e-01	2.5519e-03	9.3815e-01	5.9294e-02
DLX3	ENSG00000064195	4.9130e-01	7.9281e-01	2.5519e-03	9.3815e-01	5.9294e-02
DLX4	1748	4.6667e-01	1.0049e+00	1.6921e-02	8.9719e-01	8.5893e-02
DLX4	ENSG00000108813	4.6667e-01	1.0049e+00	1.6921e-02	8.9719e-01	8.5893e-02
DLX5	1749	2.6325e-01	9.9157e-01	2.1842e-01	7.7406e-01	7.5286e-03
DLX5	ENSG00000105880	2.6325e-01	9.9157e-01	2.1842e-01	7.7406e-01	7.5286e-03
DLX6	1750	7.9747e-02	7.2631e-01	9.2126e-01	7.8649e-02	8.8722e-05
DLX6	ENSG00000006377	7.9747e-02	7.2631e-01	9.2126e-01	7.8649e-02	8.8722e-05
DMAP1	55929	2.9170e-01	6.2562e-01	4.1133e-02	9.5863e-01	2.3358e-04
DMAP1	ENSG00000178028	2.9170e-01	6.2562e-01	4.1133e-02	9.5863e-01	2.3358e-04
DMBT1	1755	9.1532e-01	1.1925e+00	4.4760e-63	2.0669e-08	1.0000e+00
DMBT1	ENSG00000187908	9.1532e-01	1.1925e+00	4.4760e-63	2.0669e-08	1.0000e+00
DMBX1	127343	7.7753e-02	8.5087e-01	9.2957e-01	7.0367e-02	6.6793e-05
DMBX1	ENSG00000197587	7.7753e-02	8.5087e-01	9.2957e-01	7.0367e-02	6.6793e-05
DMC1	11144	4.6562e-01	7.4441e-01	5.0628e-05	9.9351e-01	6.4354e-03
DMC1	ENSG00000100206	4.6562e-01	7.4441e-01	5.0628e-05	9.9351e-01	6.4354e-03
DMD	1756	1.0275e-01	1.1884e+00	1.0000e+00	3.5871e-15	1.9864e-48
DMD	ENSG00000198947	1.0275e-01	1.1884e+00	1.0000e+00	3.5871e-15	1.9864e-48
DMGDH	29958	8.9808e-01	9.2468e-01	2.0503e-24	2.7649e-03	9.9724e-01
DMGDH	ENSG00000132837	8.9808e-01	9.2468e-01	2.0503e-24	2.7649e-03	9.9724e-01
DMKN	93099	7.4464e-01	9.6623e-01	8.3445e-13	4.2538e-01	5.7462e-01
DMKN	ENSG00000161249	7.4464e-01	9.6623e-01	8.3445e-13	4.2538e-01	5.7462e-01
DMP1	1758	7.1892e-01	9.5297e-01	1.4881e-07	6.2795e-01	3.7205e-01
DMP1	ENSG00000152592	7.1892e-01	9.5297e-01	1.4881e-07	6.2795e-01	3.7205e-01
DMPK	1760	2.8359e-01	9.6032e-01	3.8339e-02	9.6161e-01	5.2682e-05
DMPK	ENSG00000104936	2.8359e-01	9.6032e-01	3.8339e-02	9.6161e-01	5.2682e-05
DMRT1	1761	1.5206e-01	1.0839e+00	7.3870e-01	2.6084e-01	4.5724e-04
DMRT1	ENSG00000137090	1.5206e-01	1.0839e+00	7.3870e-01	2.6084e-01	4.5724e-04
DMRT2	10655	3.8330e-01	1.3619e+00	9.6606e-03	9.8057e-01	9.7653e-03
DMRT2	ENSG00000173253	3.8330e-01	1.3619e+00	9.6606e-03	9.8057e-01	9.7653e-03
DMRT3	58524	6.9076e-01	1.2960e+00	6.1531e-06	7.1037e-01	2.8962e-01
DMRT3	ENSG00000064218	6.9076e-01	1.2960e+00	6.1531e-06	7.1037e-01	2.8962e-01
DMRTA1	63951	6.8763e-01	1.2074e+00	6.3708e-06	7.1760e-01	2.8239e-01
DMRTA1	ENSG00000176399	6.8763e-01	1.2074e+00	6.3708e-06	7.1760e-01	2.8239e-01
DMRTA2	63950	0.0000e+00	7.1827e-01	9.1608e-01	8.3408e-02	5.1004e-04
DMRTA2	ENSG00000142700	0.0000e+00	7.1827e-01	9.1608e-01	8.3408e-02	5.1004e-04
DMRTB1	63948	9.8199e-02	7.9313e-01	8.2857e-01	1.7075e-01	6.8269e-04
DMRTB1	ENSG00000143006	9.8199e-02	7.9313e-01	8.2857e-01	1.7075e-01	6.8269e-04
DMRTC1	63947	1.0508e+00	5.0483e-01	2.3698e-02	5.6214e-01	4.1416e-01
DMRTC1	ENSG00000159123	1.0508e+00	5.0483e-01	2.3698e-02	5.6214e-01	4.1416e-01
DMRTC2	63946	1.7189e-01	8.2361e-01	7.3104e-01	2.6886e-01	1.0110e-04
DMRTC2	ENSG00000142025	1.7189e-01	8.2361e-01	7.3104e-01	2.6886e-01	1.0110e-04
DMTF1	9988	1.6887e-01	6.9236e-01	9.6706e-01	3.2939e-02	6.8174e-10
DMTF1	ENSG00000135164	1.6887e-01	6.9236e-01	9.6706e-01	3.2939e-02	6.8174e-10
DMTN	2039	1.5944e-01	7.7294e-01	9.0082e-01	9.9178e-02	1.3355e-06
DMTN	ENSG00000158856	1.5944e-01	7.7294e-01	9.0082e-01	9.9178e-02	1.3355e-06
DMWD	1762	2.2526e-01	6.4909e-01	3.6917e-01	6.3039e-01	4.3485e-04
DMWD	ENSG00000185800	2.2526e-01	6.4909e-01	3.6917e-01	6.3039e-01	4.3485e-04
DMXL1	1657	1.3771e-01	1.0350e+00	1.0000e+00	2.8137e-09	1.8551e-35
DMXL1	ENSG00000172869	1.3771e-01	1.0350e+00	1.0000e+00	2.8137e-09	1.8551e-35
DMXL2	23312	1.0244e-01	8.3141e-01	1.0000e+00	1.6277e-13	5.2683e-43
DMXL2	ENSG00000104093	1.0244e-01	8.3141e-01	1.0000e+00	1.6277e-13	5.2683e-43
DNA2	1763	7.0231e-01	9.1356e-01	1.2748e-18	6.5218e-01	3.4782e-01
DNA2	ENSG00000138346	7.0231e-01	9.1356e-01	1.2748e-18	6.5218e-01	3.4782e-01
DNAAF1	123872	7.0022e-01	1.2826e+00	8.4672e-12	6.8019e-01	3.1981e-01
DNAAF1	ENSG00000154099	7.0022e-01	1.2826e+00	8.4672e-12	6.8019e-01	3.1981e-01
DNAAF2	55172	7.0334e-01	1.0334e+00	6.4811e-09	6.7239e-01	3.2761e-01
DNAAF2	ENSG00000165506	7.0334e-01	1.0334e+00	6.4811e-09	6.7239e-01	3.2761e-01
DNAAF3	352909	6.4081e-01	9.3707e-01	5.5391e-08	8.6330e-01	1.3670e-01
DNAAF3	ENSG00000167646	6.4081e-01	9.3707e-01	5.5391e-08	8.6330e-01	1.3670e-01
DNAH1	25981	3.9802e-01	9.3142e-01	1.4983e-26	1.0000e+00	5.8305e-22
DNAH1	ENSG00000114841	3.9802e-01	9.3142e-01	1.4983e-26	1.0000e+00	5.8305e-22
DNAH10	196385	5.9290e-01	9.1272e-01	1.3846e-57	1.0000e+00	1.2581e-08
DNAH10	ENSG00000197653	5.9290e-01	9.1272e-01	1.3846e-57	1.0000e+00	1.2581e-08
DNAH10OS	ENSG00000250091	1.2817e+00	1.0355e+00	1.7857e-04	2.8250e-01	7.1732e-01
DNAH11	8701	5.8331e-01	1.3309e+00	2.5389e-58	1.0000e+00	1.1905e-09
DNAH11	ENSG00000105877	5.8331e-01	1.3309e+00	2.5389e-58	1.0000e+00	1.1905e-09
DNAH12	201625	7.4692e-01	8.8438e-01	9.0946e-10	4.8878e-01	5.1122e-01
DNAH12	ENSG00000174844	7.4692e-01	8.8438e-01	9.0946e-10	4.8878e-01	5.1122e-01
DNAH14	127602	1.0717e+00	7.9623e-01	2.6938e-16	4.6655e-03	9.9533e-01
DNAH14	ENSG00000185842	1.0717e+00	7.9623e-01	2.6938e-16	4.6655e-03	9.9533e-01
DNAH17	8632	6.4945e-01	1.1723e+00	1.9559e-63	9.9978e-01	2.1658e-04
DNAH17	ENSG00000187775	6.4945e-01	1.1723e+00	1.9559e-63	9.9978e-01	2.1658e-04
DNAH17-AS1	100996295	1.2017e+00	1.1498e+00	8.3797e-02	5.7036e-01	3.4584e-01
DNAH17-AS1	ENSG00000268470	1.2017e+00	1.1498e+00	8.3797e-02	5.7036e-01	3.4584e-01
DNAH2	146754	4.8232e-01	8.9581e-01	1.2998e-44	1.0000e+00	3.1200e-18
DNAH2	ENSG00000183914	4.8232e-01	8.9581e-01	1.2998e-44	1.0000e+00	3.1200e-18
DNAH3	55567	6.9069e-01	9.9823e-01	1.5364e-64	8.5900e-01	1.4100e-01
DNAH3	ENSG00000158486	6.9069e-01	9.9823e-01	1.5364e-64	8.5900e-01	1.4100e-01
DNAH5	1767	6.0393e-01	1.0436e+00	4.8607e-64	1.0000e+00	2.2215e-08
DNAH5	ENSG00000039139	6.0393e-01	1.0436e+00	4.8607e-64	1.0000e+00	2.2215e-08
DNAH6	1768	4.8281e-01	7.7488e-01	1.1201e-36	1.0000e+00	4.7030e-15
DNAH6	ENSG00000115423	4.8281e-01	7.7488e-01	1.1201e-36	1.0000e+00	4.7030e-15
DNAH7	56171	7.2765e-01	1.0676e+00	1.3505e-71	2.5032e-02	9.7497e-01
DNAH7	ENSG00000118997	7.2765e-01	1.0676e+00	1.3505e-71	2.5032e-02	9.7497e-01
