merged_symbol	merged_geneid	mimnumber	gsymbols	gname	gphenotypes
AGBL2	79841	617345	AGBL2,_CCP2	ATP/GTP-binding_protein-like_2	
AGBL2	ENSG00000165923	617345	AGBL2,_CCP2	ATP/GTP-binding_protein-like_2	
AGBL3	340351	617346	AGBL3,_CCP3	ATP/GTP-binding_protein-like_3	
AGBL3	ENSG00000146856	617346	AGBL3,_CCP3	ATP/GTP-binding_protein-like_3	
AGBL4	84871	616476	AGBL4,_CCP6	ATP/GTP-binding_protein-like_4	
AGBL4	ENSG00000186094	616476	AGBL4,_CCP6	ATP/GTP-binding_protein-like_4	
AGBL5	60509	615900	AGBL5,_CCP5,_RP75	AATP/GTP-binding_protein-like_5	Retinitis_pigmentosa_75,_617023_(3),_Autosomal_recessive
AGBL5	ENSG00000084693	615900	AGBL5,_CCP5,_RP75	AATP/GTP-binding_protein-like_5	Retinitis_pigmentosa_75,_617023_(3),_Autosomal_recessive
AGER	177	600214	AGER,_RAGE	Advanced_glycosylation_end_product-specific_receptor	
AGER	ENSG00000204305	600214	AGER,_RAGE	Advanced_glycosylation_end_product-specific_receptor	
AGFG1	3267	600862	AGFG1,_HRB,_RIP,_RAB	ADP-ribosylation_factor_GTPase-activating_protein_with_FG_repeats_1	
AGFG1	ENSG00000173744	600862	AGFG1,_HRB,_RIP,_RAB	ADP-ribosylation_factor_GTPase-activating_protein_with_FG_repeats_1	
AGFG2	3268	604019	AGFG2,_HRBL,_RABR	ADP-ribosylation_factor_GTPase-activating_protein_with_FG_repeats_2	
AGFG2	ENSG00000106351	604019	AGFG2,_HRBL,_RABR	ADP-ribosylation_factor_GTPase-activating_protein_with_FG_repeats_2	
AGGF1	55109	608464	AGGF1,_VG5Q,_HUS84971,_FLJ10283	Angiogenic_factor_with_G_patch_and_FHA_domains_1	
AGGF1	ENSG00000164252	608464	AGGF1,_VG5Q,_HUS84971,_FLJ10283	Angiogenic_factor_with_G_patch_and_FHA_domains_1	
AGK	55750	610345	AGK,_MULK,_MTDPS10,_CATC5,_CTRCT38	Acylglycerol_kinase	Cataract_38,_autosomal_recessive,_614691_(3),_Autosomal_recessive,_Sengers_syndrome,_212350_(3),_Autosomal_recessive
AGK	ENSG00000006530	610345	AGK,_MULK,_MTDPS10,_CATC5,_CTRCT38	Acylglycerol_kinase	Cataract_38,_autosomal_recessive,_614691_(3),_Autosomal_recessive,_Sengers_syndrome,_212350_(3),_Autosomal_recessive
AGL	178	610860	AGL,_GDE	Amylo-1,6-glucosidase,_4-alpha-glucanotransferase_(glycogen_debranching_enzyme)	Glycogen_storage_disease_IIIa,_232400_(3),_Autosomal_recessive,_Glycogen_storage_disease_IIIb,_232400_(3),_Autosomal_recessive
AGL	ENSG00000162688	610860	AGL,_GDE	Amylo-1,6-glucosidase,_4-alpha-glucanotransferase_(glycogen_debranching_enzyme)	Glycogen_storage_disease_IIIa,_232400_(3),_Autosomal_recessive,_Glycogen_storage_disease_IIIb,_232400_(3),_Autosomal_recessive
AGMAT	79814	617887	AGMAT,_AUH	Agmatinase	
AGMAT	ENSG00000116771	617887	AGMAT,_AUH	Agmatinase	
AGMO	392636	613738	AGMO,_TMEM195	Alkylglycerol_monooxygenase	
AGMO	ENSG00000187546	613738	AGMO,_TMEM195	Alkylglycerol_monooxygenase	
AGO1	26523	606228	AGO1,_EIF2C1,_GERP95,_EIF2C	Argonaute_1,_RISC_catalytic_component	
AGO1	ENSG00000092847	606228	AGO1,_EIF2C1,_GERP95,_EIF2C	Argonaute_1,_RISC_catalytic_component	
AGO2	27161	606229	AGO2,_EIF2C2	Argonaute_2,_RISC_catalytic_component	
AGO2	ENSG00000123908	606229	AGO2,_EIF2C2	Argonaute_2,_RISC_catalytic_component	
AGO3	192669	607355	EIF2C3,_AGO3	Eukaryotic_translation_initiation_factor_2C,_subunit_3_(argonaute_3)	
AGO3	ENSG00000126070	607355	EIF2C3,_AGO3	Eukaryotic_translation_initiation_factor_2C,_subunit_3_(argonaute_3)	
AGO4	192670	607356	EIF2C4,_AGO4,_KIAA1567	Eukaryotic_translation_initiation_factor_2C,_4_(argonaute_4)	
AGO4	ENSG00000134698	607356	EIF2C4,_AGO4,_KIAA1567	Eukaryotic_translation_initiation_factor_2C,_4_(argonaute_4)	
AGPAT1	10554	603099	AGPAT1,_LPAATA	1-acylglycerol-3-phosphate_O-acyltransferase_1_(lysophosphatidic_acid_acyltransferase-alpha)	
AGPAT1	ENSG00000204310	603099	AGPAT1,_LPAATA	1-acylglycerol-3-phosphate_O-acyltransferase_1_(lysophosphatidic_acid_acyltransferase-alpha)	
AGPAT2	10555	603100	AGPAT2,_LPAAB,_BSCL,_BSCL1	1-acylglycerol-3-phosphate_O-acyltransferase_2_(lysophosphatidic_acid_acyltransferase-beta)	Lipodystrophy,_congenital_generalized,_type_1,_608594_(3),_Autosomal_recessive
AGPAT2	ENSG00000169692	603100	AGPAT2,_LPAAB,_BSCL,_BSCL1	1-acylglycerol-3-phosphate_O-acyltransferase_2_(lysophosphatidic_acid_acyltransferase-beta)	Lipodystrophy,_congenital_generalized,_type_1,_608594_(3),_Autosomal_recessive
AGPAT3	56894	614794	AGPAT3,_LPAAT3	1-acylglycerol-3-phosphate_O-acyltransferase_3	
AGPAT3	ENSG00000160216	614794	AGPAT3,_LPAAT3	1-acylglycerol-3-phosphate_O-acyltransferase_3	
AGPAT4	56895	614795	AGPAT4	1-acylglycerol-3-phosphate_O-acyltransferase_4	
AGPAT4	ENSG00000026652	614795	AGPAT4	1-acylglycerol-3-phosphate_O-acyltransferase_4	
AGPAT5	55326	614796	AGPAT5	1-acylglycerol-3-phosphate_O-acyltransferase_5	
AGPAT5	ENSG00000155189	614796	AGPAT5	1-acylglycerol-3-phosphate_O-acyltransferase_5	
AGPAT6	137964	608143	AGPAT6,_LPAATZ	1-acylglycerol-3-phosphate_O-acyltransferase_6	
AGPAT6	ENSG00000158669	608143	AGPAT6,_LPAATZ	1-acylglycerol-3-phosphate_O-acyltransferase_6	
AGPAT9	84803	610958	AGPAT9,_GPAT3,_MAG1	1-acylglycerol-3-phosphate_O-acyltransferase_9	
AGPAT9	ENSG00000138678	610958	AGPAT9,_GPAT3,_MAG1	1-acylglycerol-3-phosphate_O-acyltransferase_9	
AGPS	8540	603051	AGPS,_ADHAPS,_RCDP3	Alkylglycerone-phosphate_synthase	Rhizomelic_chondrodysplasia_punctata,_type_3,_600121_(3),_Autosomal_recessive
AGPS	ENSG00000018510	603051	AGPS,_ADHAPS,_RCDP3	Alkylglycerone-phosphate_synthase	Rhizomelic_chondrodysplasia_punctata,_type_3,_600121_(3),_Autosomal_recessive
AGR2	10551	606358	AGR2,_AG2	Anterior_gradient_2,_Xenopus,_homolog_of	
AGR2	ENSG00000106541	606358	AGR2,_AG2	Anterior_gradient_2,_Xenopus,_homolog_of	
AGR3	155465	609482	AGR3,_BCMP11	Anterior_gradient_3,_Xenopus,_homolog_of	
AGR3	ENSG00000173467	609482	AGR3,_BCMP11	Anterior_gradient_3,_Xenopus,_homolog_of	
AGRN	375790	103320	AGRN,_CMS8	Agrin	Myasthenic_syndrome,_congenital,_8,_with_pre-_and_postsynaptic_defects,_615120_(3),_Autosomal_recessive
AGRN	ENSG00000188157	103320	AGRN,_CMS8	Agrin	Myasthenic_syndrome,_congenital,_8,_with_pre-_and_postsynaptic_defects,_615120_(3),_Autosomal_recessive
AGRP	181	602311	AGRP,_ART,_AGRT	Agouti-related_transcript,_mouse,_homolog_of	{Leanness,_inherited}_(3),_{Obesity,_late-onset},_601665_(3),_Autosomal_recessive,_Autosomal_dominant,_Multifactorial
AGRP	ENSG00000159723	602311	AGRP,_ART,_AGRT	Agouti-related_transcript,_mouse,_homolog_of	{Leanness,_inherited}_(3),_{Obesity,_late-onset},_601665_(3),_Autosomal_recessive,_Autosomal_dominant,_Multifactorial
AGT	183	106150	AGT,_SERPINA8	Angiotensinogen	{Hypertension,_essential,_susceptibility_to},_145500_(3),_Multifactorial,_{Preeclampsia,_susceptibility_to}_(3),_Renal_tubular_dysgenesis,_267430_(3),_Autosomal_recessive
AGT	ENSG00000135744	106150	AGT,_SERPINA8	Angiotensinogen	{Hypertension,_essential,_susceptibility_to},_145500_(3),_Multifactorial,_{Preeclampsia,_susceptibility_to}_(3),_Renal_tubular_dysgenesis,_267430_(3),_Autosomal_recessive
AGTPBP1	23287	606830	AGTPBP1,_NNA1,_KIAA1035,_CCP1,_CONDCA	ATP/GTP-binding_protein_1	Neurodegeneration,_childhood-onset,_with_cerebellar_atrophy,_618276_(3),_Autosomal_recessive
AGTPBP1	ENSG00000135049	606830	AGTPBP1,_NNA1,_KIAA1035,_CCP1,_CONDCA	ATP/GTP-binding_protein_1	Neurodegeneration,_childhood-onset,_with_cerebellar_atrophy,_618276_(3),_Autosomal_recessive
AGTR1	185	106165	AGTR1,_AGTR1A,_AT2R1	Angiotensin_receptor_1	{Hypertension,_essential},_145500_(3),_Multifactorial,_Renal_tubular_dysgenesis,_267430_(3),_Autosomal_recessive
AGTR1	ENSG00000144891	106165	AGTR1,_AGTR1A,_AT2R1	Angiotensin_receptor_1	{Hypertension,_essential},_145500_(3),_Multifactorial,_Renal_tubular_dysgenesis,_267430_(3),_Autosomal_recessive
AGTR2	186	300034	AGTR2	Angiotensin_receptor_2	
AGTR2	ENSG00000180772	300034	AGTR2	Angiotensin_receptor_2	
AGXT	189	604285	AGXT,_SPAT	Alanine-glyoxylate_aminotransferase,_liver-specific_peroxisomal	Hyperoxaluria,_primary,_type_1,_259900_(3),_Autosomal_recessive
AGXT	ENSG00000172482	604285	AGXT,_SPAT	Alanine-glyoxylate_aminotransferase,_liver-specific_peroxisomal	Hyperoxaluria,_primary,_type_1,_259900_(3),_Autosomal_recessive
AGXT2	64902	612471	AGXT2,_AGT2,_BAIBA	Alanine-glyoxylate_aminotransferase_2	[Beta-aminoisobutyric_acid,_urinary_excretion_of],_210100_(3),_Autosomal_recessive
AGXT2	ENSG00000113492	612471	AGXT2,_AGT2,_BAIBA	Alanine-glyoxylate_aminotransferase_2	[Beta-aminoisobutyric_acid,_urinary_excretion_of],_210100_(3),_Autosomal_recessive
AHCTF1	25909	610853	AHCTF1,_ELYS	AT_hook_containing_transcription_factor_1	
AHCTF1	ENSG00000153207	610853	AHCTF1,_ELYS	AT_hook_containing_transcription_factor_1	
AHCY	191	180960	AHCY,_SAHH	S-adenosylhomocysteine_hydrolase	Hypermethioninemia_with_deficiency_of_S-adenosylhomocysteine_hydrolase,_613752_(3),_Autosomal_recessive
AHCY	ENSG00000101444	180960	AHCY,_SAHH	S-adenosylhomocysteine_hydrolase	Hypermethioninemia_with_deficiency_of_S-adenosylhomocysteine_hydrolase,_613752_(3),_Autosomal_recessive
AHCYL1	10768	607826	AHCYL1,_DCAL,_IRBIT	Adenosylhomocysteine-like_1	
AHCYL1	ENSG00000168710	607826	AHCYL1,_DCAL,_IRBIT	Adenosylhomocysteine-like_1	
AHCYL2	23382	616520	AHCYL2	Adenosylhomocysteinase-like_2	
AHCYL2	ENSG00000158467	616520	AHCYL2	Adenosylhomocysteinase-like_2	
AHDC1	27245	615790	AHDC1,_MRD25	AT-hook_DNA-binding_motif-containing_protein_1	Xia-Gibbs_syndrome,_615829_(3),_Autosomal_dominant
AHDC1	ENSG00000126705	615790	AHDC1,_MRD25	AT-hook_DNA-binding_motif-containing_protein_1	Xia-Gibbs_syndrome,_615829_(3),_Autosomal_dominant
AHI1	54806	608894	AHI1	Abelson_helper_integration_site_1	Joubert_syndrome_3,_608629_(3),_Autosomal_recessive
AHI1	ENSG00000135541	608894	AHI1	Abelson_helper_integration_site_1	Joubert_syndrome_3,_608629_(3),_Autosomal_recessive
AHNAK	79026	103390	AHNAK	AHNAK_nucleoprotein_(desmoyokin)	
AHNAK	ENSG00000124942	103390	AHNAK	AHNAK_nucleoprotein_(desmoyokin)	
AHR	196	600253	AHR,_RP85	Aryl_hydrocarbon_receptor	?Retinitis_pigmentosa_85,_618345_(3),_Autosomal_recessive
AHR	ENSG00000106546	600253	AHR,_RP85	Aryl_hydrocarbon_receptor	?Retinitis_pigmentosa_85,_618345_(3),_Autosomal_recessive
AHRR	57491	606517	AHRR,_KIAA1234	Arylhydrocarbon_receptor_repressor	
AHSA1	10598	608466	AHSA1,_AHA1	Activator_of_heat-shock_90kD_protein_ATPase_1	
AHSA1	ENSG00000100591	608466	AHSA1,_AHA1	Activator_of_heat-shock_90kD_protein_ATPase_1	
AHSG	197	138680	AHSG,_APMR1	Alpha-2HS-glycoprotein	?Alopecia-mental_retardation_syndrome_1,_203650_(3),_Autosomal_recessive
AHSG	ENSG00000145192	138680	AHSG,_APMR1	Alpha-2HS-glycoprotein	?Alopecia-mental_retardation_syndrome_1,_203650_(3),_Autosomal_recessive
AHSP	51327	605821	ERAF,_EDRF,_AHSP	Erythroid-associated_factor_(alpha-hemoglobin_stabilizing_protein)	
AHSP	ENSG00000169877	605821	ERAF,_EDRF,_AHSP	Erythroid-associated_factor_(alpha-hemoglobin_stabilizing_protein)	
AICDA	57379	605257	AICDA,_AID,_HIGM2	Activation-induced_cytidine_deaminase	Immunodeficiency_with_hyper-IgM,_type_2,_605258_(3),_Autosomal_recessive
AICDA	ENSG00000111732	605257	AICDA,_AID,_HIGM2	Activation-induced_cytidine_deaminase	Immunodeficiency_with_hyper-IgM,_type_2,_605258_(3),_Autosomal_recessive
AIDA	64853	612375	AIDA	Axin_interactor,_dorsalization-associated	
AIDA	ENSG00000186063	612375	AIDA	Axin_interactor,_dorsalization-associated	
AIF1	199	601833	AIF1,_IRT1	Allograft_inflammatory_factor_1	
AIF1	ENSG00000204472	601833	AIF1,_IRT1	Allograft_inflammatory_factor_1	
AIFM1	9131	300169	AIFM1,_PDCD8,_AIF,_COXPD6,_COWCK,_CMTX4,_DFNX5	Apoptosis-inducing_factor,_mitochondrion-associated,_1	Combined_oxidative_phosphorylation_deficiency_6,_300816_(3),_X-linked_recessive,_Cowchock_syndrome,_310490_(3),_X-linked_recessive,_Deafness,_X-linked_5,_300614_(3),_X-linked_recessive
AIFM1	ENSG00000156709	300169	AIFM1,_PDCD8,_AIF,_COXPD6,_COWCK,_CMTX4,_DFNX5	Apoptosis-inducing_factor,_mitochondrion-associated,_1	Combined_oxidative_phosphorylation_deficiency_6,_300816_(3),_X-linked_recessive,_Cowchock_syndrome,_310490_(3),_X-linked_recessive,_Deafness,_X-linked_5,_300614_(3),_X-linked_recessive
AIFM3	150209	617298	AIFM3,_AIFL	Apoptosis-inducing_factor,_mitochondria-associated,_3	
AIFM3	ENSG00000183773	617298	AIFM3,_AIFL	Apoptosis-inducing_factor,_mitochondria-associated,_3	
AIM1	202	601797	AIM1,_ST4	Absent_in_melanoma_1	
AIM1	ENSG00000112297	601797	AIM1,_ST4	Absent_in_melanoma_1	
AIM2	9447	604578	AIM2	Absent_in_melanoma_2	
AIM2	ENSG00000163568	604578	AIM2	Absent_in_melanoma_2	
AIMP1	9255	603605	AIMP1,_SCYE1,_EMAP2,_EMAPII,_HLD3	ARS-interacting_multifunctional_protein_1	Leukodystrophy,_hypomyelinating,_3,_260600_(3),_Autosomal_recessive
AIMP1	ENSG00000164022	603605	AIMP1,_SCYE1,_EMAP2,_EMAPII,_HLD3	ARS-interacting_multifunctional_protein_1	Leukodystrophy,_hypomyelinating,_3,_260600_(3),_Autosomal_recessive
AIMP2	7965	600859	AIMP2,_JTV1,_HLD17	Aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_2	Leukodystrophy,_hypomyelinating,_17,_618006_(3),_Autosomal_recessive
AIMP2	ENSG00000106305	600859	AIMP2,_JTV1,_HLD17	Aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_2	Leukodystrophy,_hypomyelinating,_17,_618006_(3),_Autosomal_recessive
AIP	9049	605555	AIP,_XAP2,_ARA9,_PITA1	Aryl_hydrocarbon_receptor-interacting_protein	Pituitary_adenoma_1,_multiple_types,_102200_(3),_Autosomal_dominant,_Somatic_mutation,_Pituitary_adenoma_predisposition,_102200_(3),_Autosomal_dominant,_Somatic_mutation
AIP	ENSG00000110711	605555	AIP,_XAP2,_ARA9,_PITA1	Aryl_hydrocarbon_receptor-interacting_protein	Pituitary_adenoma_1,_multiple_types,_102200_(3),_Autosomal_dominant,_Somatic_mutation,_Pituitary_adenoma_predisposition,_102200_(3),_Autosomal_dominant,_Somatic_mutation
AIPL1	23746	604392	AIPL1,_LCA4	Arylhydrocarbon-interacting_receptor_protein-like_1	Cone-rod_dystrophy,_604393_(3),_Autosomal_recessive,_Leber_congenital_amaurosis_4,_604393_(3),_Autosomal_recessive,_Retinitis_pigmentosa,_juvenile,_604393_(3),_Autosomal_recessive
AIPL1	ENSG00000129221	604392	AIPL1,_LCA4	Arylhydrocarbon-interacting_receptor_protein-like_1	Cone-rod_dystrophy,_604393_(3),_Autosomal_recessive,_Leber_congenital_amaurosis_4,_604393_(3),_Autosomal_recessive,_Retinitis_pigmentosa,_juvenile,_604393_(3),_Autosomal_recessive
AIRE	326	607358	AIRE,_APECED,_APS1	Autoimmune_regulator	Autoimmune_polyendocrinopathy_syndrome_,_type_I,_with_or_without_reversible_metaphyseal_dysplasia,_240300_(3),_Autosomal_recessive,_Autosomal_dominant
AIRE	ENSG00000160224	607358	AIRE,_APECED,_APS1	Autoimmune_regulator	Autoimmune_polyendocrinopathy_syndrome_,_type_I,_with_or_without_reversible_metaphyseal_dysplasia,_240300_(3),_Autosomal_recessive,_Autosomal_dominant
AIRN	100271873	604893	AIRN,_AIR	Antisense_IGF2R_RNA,_noncoding	
AIRN	ENSG00000268257	604893	AIRN,_AIR	Antisense_IGF2R_RNA,_noncoding	
AJAP1	55966	610972	AJAP1,_SHREW1	Adherens_junction-associated_protein_1	
AJAP1	ENSG00000196581	610972	AJAP1,_SHREW1	Adherens_junction-associated_protein_1	
AK1	203	103000	AK1	Adenylate_kinase-1	Hemolytic_anemia_due_to_adenylate_kinase_deficiency,_612631_(3),_Autosomal_recessive
AK1	ENSG00000106992	103000	AK1	Adenylate_kinase-1	Hemolytic_anemia_due_to_adenylate_kinase_deficiency,_612631_(3),_Autosomal_recessive
AK2	204	103020	AK2	Adenylate_kinase-2,_mitochondrial	Reticular_dysgenesis,_267500_(3),_Autosomal_recessive
AK2	ENSG00000004455	103020	AK2	Adenylate_kinase-2,_mitochondrial	Reticular_dysgenesis,_267500_(3),_Autosomal_recessive
AK3	50808	609290	AK3,_AK3L1	Adenylate_kinase_3	
AK3	ENSG00000147853	609290	AK3,_AK3L1	Adenylate_kinase_3	
AK4	205	103030	AK3	Adenylate_kinase-3,_mitochondrial	
AK4	ENSG00000162433	103030	AK3	Adenylate_kinase-3,_mitochondrial	
AK5	26289	608009	AK5	Adenylate_kinase_5	
AK5	ENSG00000154027	608009	AK5	Adenylate_kinase_5	
AK7	122481	615364	AK7,_SPGF27	Adenylate_kinase_7	?Spermatogenic_failure_27,_617965_(3),_Autosomal_recessive
AK7	ENSG00000140057	615364	AK7,_SPGF27	Adenylate_kinase_7	?Spermatogenic_failure_27,_617965_(3),_Autosomal_recessive
AK8	158067	615365	AK8	Adenylate_kinase_8	
AK8	ENSG00000165695	615365	AK8	Adenylate_kinase_8	
AK9	221264	615358	AK9	Adenylate_kinase_9	
AK9	ENSG00000155085	615358	AK9	Adenylate_kinase_9	
AKAP1	8165	602449	AKAP1,_AKAP149,_SAKAP84	A-kinase_anchor_protein_1,_149kD	
AKAP1	ENSG00000121057	602449	AKAP1,_AKAP149,_SAKAP84	A-kinase_anchor_protein_1,_149kD	
AKAP10	11216	604694	AKAP10	A-kinase_anchor_protein_10	{Cardiac_conduction_defect,_susceptibility_to},_115080_(3),_Autosomal_dominant
AKAP10	ENSG00000108599	604694	AKAP10	A-kinase_anchor_protein_10	{Cardiac_conduction_defect,_susceptibility_to},_115080_(3),_Autosomal_dominant
AKAP11	11215	604696	AKAP11,_AKAP220	A-kinase_anchor_protein_11	
AKAP11	ENSG00000023516	604696	AKAP11,_AKAP220	A-kinase_anchor_protein_11	
AKAP13	11214	604686	AKAP13,_HT31,_LBC,_BRX	A-kinase_anchor_protein_13	
AKAP13	ENSG00000170776	604686	AKAP13,_HT31,_LBC,_BRX	A-kinase_anchor_protein_13	
AKAP14	158798	300462	AKAP14,_AKAP28	A-kinase_anchor_protein_14	
AKAP14	ENSG00000186471	300462	AKAP14,_AKAP28	A-kinase_anchor_protein_14	
AKAP17A	8227	312095	AKAP17A,_SFRS17A,_DXYS155E,_XE7	A_kinase_(PRKA)_anchor_protein_17A	
AKAP17A	8227	465000	AKAP17A,_SFRS17A,_XE7Y	A_kinase_(PRKA)_anchor_protein_17A	
AKAP17A	ENSG00000197976	312095	AKAP17A,_SFRS17A,_DXYS155E,_XE7	A_kinase_(PRKA)_anchor_protein_17A	
AKAP17A	ENSG00000197976	465000	AKAP17A,_SFRS17A,_XE7Y	A_kinase_(PRKA)_anchor_protein_17A	
AKAP4	8852	300185	AKAP4,_AKAP82,_HI,_FSC1	A-kinase_anchor_protein_4,_82kD	
AKAP4	ENSG00000147081	300185	AKAP4,_AKAP82,_HI,_FSC1	A-kinase_anchor_protein_4,_82kD	
AKAP5	9495	604688	AKAP5,_AKAP79	A-kinase_anchor_protein_5	
AKAP5	ENSG00000179841	604688	AKAP5,_AKAP79	A-kinase_anchor_protein_5	
AKAP6	9472	604691	ADAP6,_ADAP100	A-kinase_anchor_protein_6	
AKAP6	ENSG00000151320	604691	ADAP6,_ADAP100	A-kinase_anchor_protein_6	
AKAP8	10270	604692	AKAP8,_AKAP95	A-kinase_anchor_protein_8	
AKAP8	ENSG00000105127	604692	AKAP8,_AKAP95	A-kinase_anchor_protein_8	
AKAP8L	26993	609475	AKAP8L,_HA95,_NAKAP,_HAP95	A-kinase_anchor_protein_8-like_protein	
AKAP8L	ENSG00000011243	609475	AKAP8L,_HA95,_NAKAP,_HAP95	A-kinase_anchor_protein_8-like_protein	
AKAP9	10142	604001	AKAP9,_YOTIAO,_AKAP450	A-kinase_anchor_protein_9	?Long_QT_syndrome-11,_611820_(3),_Autosomal_dominant
AKAP9	ENSG00000127914	604001	AKAP9,_YOTIAO,_AKAP450	A-kinase_anchor_protein_9	?Long_QT_syndrome-11,_611820_(3),_Autosomal_dominant
AKIP1	56672	609191	AKIP1,_BCA3,_C11orf17	Protein_kinase_A-interacting_protein_1	
AKIP1	ENSG00000166452	609191	AKIP1,_BCA3,_C11orf17	Protein_kinase_A-interacting_protein_1	
AKIRIN1	79647	615164	AKIRIN1	Akirin_1	
AKIRIN1	ENSG00000174574	615164	AKIRIN1	Akirin_1	
AKIRIN2	55122	615165	AKIRIN2	Akirin_2	
AKIRIN2	ENSG00000135334	615165	AKIRIN2	Akirin_2	
AKR1A1	10327	103830	AKR1A1,_ALR	Aldo-keto_reductase_family_1,_member_A1_(aldehyde_reductase)	
AKR1A1	ENSG00000117448	103830	AKR1A1,_ALR	Aldo-keto_reductase_family_1,_member_A1_(aldehyde_reductase)	
AKR1B1	231	103880	AKR1B1,_ALDR1	Aldo-keto_reductase_family_1,_member_B1	
AKR1B1	ENSG00000085662	103880	AKR1B1,_ALDR1	Aldo-keto_reductase_family_1,_member_B1	
AKR1B10	57016	604707	AKR1B10,_ARL1	Aldo-keto_reductase_family_1,_member_B10	
AKR1B10	ENSG00000198074	604707	AKR1B10,_ARL1	Aldo-keto_reductase_family_1,_member_B10	
AKR1B15	441282	616336	AKR1B15,_AKR1B10L,_AKR1R1B7	Aldo-keto_reductase_family_1,_member_B15	
AKR1B15	ENSG00000227471	616336	AKR1B15,_AKR1B10L,_AKR1R1B7	Aldo-keto_reductase_family_1,_member_B15	
AKR1C1	1645	600449	AKR1C1,_DDH1,_DD1,_HAKRC	Aldo-keto_reductase_family_1,_member_1_(dihydrodiol_dehydrogenase,_type_1)	
AKR1C1	ENSG00000187134	600449	AKR1C1,_DDH1,_DD1,_HAKRC	Aldo-keto_reductase_family_1,_member_1_(dihydrodiol_dehydrogenase,_type_1)	
AKR1C2	1646	600450	AKR1C2,_DDH2,_DD2,_HAKRD,_SRXY8	Aldo-keto_reductase_family_1,_member_C2_(dihydrodiol_dehydrogenase,_type_II)	46XY_sex_reversal_8,_614279_(3),_Autosomal_recessive
AKR1C2	ENSG00000151632	600450	AKR1C2,_DDH2,_DD2,_HAKRD,_SRXY8	Aldo-keto_reductase_family_1,_member_C2_(dihydrodiol_dehydrogenase,_type_II)	46XY_sex_reversal_8,_614279_(3),_Autosomal_recessive
AKR1C3	8644	603966	AKR1C3,_HAKRB,_DD3	Aldo-keto_reductase_family_1,_member_C3	
AKR1C3	ENSG00000196139	603966	AKR1C3,_HAKRB,_DD3	Aldo-keto_reductase_family_1,_member_C3	
AKR1C4	1109	600451	AKR1C4,_CHDR,_CDR,_HAKRA,_DD4	Aldo-keto_reductase_family_1,_member_C4_(chlordecone_reductase)	{46XY_sex_reversal_8,_modifier_of},_614279_(3),_Autosomal_recessive
AKR1C4	ENSG00000198610	600451	AKR1C4,_CHDR,_CDR,_HAKRA,_DD4	Aldo-keto_reductase_family_1,_member_C4_(chlordecone_reductase)	{46XY_sex_reversal_8,_modifier_of},_614279_(3),_Autosomal_recessive
AKR1D1	6718	604741	AKR1D1,_SRD5B1,_CBAS2	Bile_acid_synthesis_defect,_congenital,_2	Bile_acid_synthesis_defect,_congenital,_2,_235555_(3),_Autosomal_recessive
AKR1D1	ENSG00000122787	604741	AKR1D1,_SRD5B1,_CBAS2	Bile_acid_synthesis_defect,_congenital,_2	Bile_acid_synthesis_defect,_congenital,_2,_235555_(3),_Autosomal_recessive
AKR1E2	83592	617451	AKR1E2,_HTSP,_TAKR	Aldo-keto_reductase_family_1,_member_E2	
AKR1E2	ENSG00000165568	617451	AKR1E2,_HTSP,_TAKR	Aldo-keto_reductase_family_1,_member_E2	
AKR7A2	8574	603418	AKR7A2,_AKR7,_AFAR	Aldo-keto_reductase_family_7,_member_A2	
AKR7A2	ENSG00000053371	603418	AKR7A2,_AKR7,_AFAR	Aldo-keto_reductase_family_7,_member_A2	
AKR7A3	22977	608477	AKR7A3,_AFAR2	Aldo-keto_reductase_family_7,_member_A3	
AKR7A3	ENSG00000162482	608477	AKR7A3,_AFAR2	Aldo-keto_reductase_family_7,_member_A3	
AKR7L	246181	608478	AKR7A4,_AFAR3	Aldo-keto_reductase_family_7,_member_A4	
AKR7L	ENSG00000211454	608478	AKR7A4,_AFAR3	Aldo-keto_reductase_family_7,_member_A4	
AKT1	207	164730	AKT1,_CWS6	AKT_serine/threonine_kinase_1	Breast_cancer,_somatic,_114480_(3),_Colorectal_cancer,_somatic,_114500_(3),_Cowden_syndrome_6,_615109_(3),_Ovarian_cancer,_somatic,_167000_(3),_Proteus_syndrome,_somatic,_176920_(3),_{Schizophrenia,_susceptibility_to},_181500_(2),_Autosomal_dominant
AKT1	ENSG00000142208	164730	AKT1,_CWS6	AKT_serine/threonine_kinase_1	Breast_cancer,_somatic,_114480_(3),_Colorectal_cancer,_somatic,_114500_(3),_Cowden_syndrome_6,_615109_(3),_Ovarian_cancer,_somatic,_167000_(3),_Proteus_syndrome,_somatic,_176920_(3),_{Schizophrenia,_susceptibility_to},_181500_(2),_Autosomal_dominant
AKT1S1	84335	610221	AKT1S1,_PRAS40	AKT1_substrate_1,_proline-rich	
AKT1S1	ENSG00000204673	610221	AKT1S1,_PRAS40	AKT1_substrate_1,_proline-rich	
AKT2	208	164731	AKT2,_HIHGHH	Murine_thymoma_viral_(v-akt)_homolog-2	Diabetes_mellitus,_type_II,_125853_(3),_Autosomal_dominant,_Hypoinsulinemic_hypoglycemia_with_hemihypertrophy,_240900_(3),_Autosomal_dominant
