symbol	geneid	disorders
CCDC78	124093	[319160:Congenital_myopathy_with_internal_nuclei_and_atypical_cores]
CCDC78	ENSG00000162004	[319160:Congenital_myopathy_with_internal_nuclei_and_atypical_cores]
CCDC8	83987	[2616:3M_syndrome]
CCDC8	ENSG00000169515	[2616:3M_syndrome]
CCDC88A	55704	[99807:PEHO-like_syndrome]
CCDC88A	ENSG00000115355	[99807:PEHO-like_syndrome]
CCDC88C	440193	[269510:Congenital_non-communicating_hydrocephalus],[423275:Spinocerebellar_ataxia_type_40]
CCDC88C	ENSG00000015133	[269510:Congenital_non-communicating_hydrocephalus],[423275:Spinocerebellar_ataxia_type_40]
CCM2	83605	[221061:Familial_cerebral_cavernous_malformation]
CCM2	ENSG00000136280	[221061:Familial_cerebral_cavernous_malformation]
CCND1	595	[67038:B-cell_chronic_lymphocytic_leukemia],[52416:Mantle_cell_lymphoma],[29073:Multiple_myeloma]
CCND1	ENSG00000110092	[67038:B-cell_chronic_lymphocytic_leukemia],[52416:Mantle_cell_lymphoma],[29073:Multiple_myeloma]
CCND2	894	[83473:Megalencephaly-polymicrogyria-postaxial_polydactyly-hydrocephalus_syndrome]
CCND2	ENSG00000118971	[83473:Megalencephaly-polymicrogyria-postaxial_polydactyly-hydrocephalus_syndrome]
CCNF	899	[803:Amyotrophic_lateral_sclerosis]
CCNF	ENSG00000162063	[803:Amyotrophic_lateral_sclerosis]
CCNO	10309	[244:Primary_ciliary_dyskinesia]
CCNO	ENSG00000152669	[244:Primary_ciliary_dyskinesia]
CCR1	1230	[117:Behçet_disease]
CCR1	ENSG00000163823	[117:Behçet_disease]
CCR5	1234	[319269:Susceptibility/resistance_to_HIV_infection]
CCR5	ENSG00000160791	[319269:Susceptibility/resistance_to_HIV_infection]
CCR6	1235	[220393:Diffuse_cutaneous_systemic_sclerosis],[220402:Limited_cutaneous_systemic_sclerosis]
CCR6	ENSG00000112486	[220393:Diffuse_cutaneous_systemic_sclerosis],[220402:Limited_cutaneous_systemic_sclerosis]
CCT5	22948	[139578:Mutilating_hereditary_sensory_neuropathy_with_spastic_paraplegia]
CCT5	ENSG00000150753	[139578:Mutilating_hereditary_sensory_neuropathy_with_spastic_paraplegia]
CD109	135228	[853:Fetal_and_neonatal_alloimmune_thrombocytopenia]
CD109	ENSG00000156535	[853:Fetal_and_neonatal_alloimmune_thrombocytopenia]
CD151	977	[300333:Nephrotic_syndrome-deafness-pretibial_epidermolysis_bullosa_syndrome]
CD151	ENSG00000177697	[300333:Nephrotic_syndrome-deafness-pretibial_epidermolysis_bullosa_syndrome]
CD164	8763	[90635:Autosomal_dominant_non-syndromic_sensorineural_deafness_type_DFNA]
CD164	ENSG00000135535	[90635:Autosomal_dominant_non-syndromic_sensorineural_deafness_type_DFNA]
CD19	930	[1572:Common_variable_immunodeficiency]
CD19	ENSG00000177455	[1572:Common_variable_immunodeficiency]
CD247	919	[85410:Oligoarticular_juvenile_idiopathic_arthritis],[85408:Rheumatoid_factor-negative_juvenile_idiopathic_arthritis],[169160:T-B+_severe_combined_immunodeficiency_due_to_CD3delta/CD3epsilon/CD3zeta]
CD247	ENSG00000198821	[85410:Oligoarticular_juvenile_idiopathic_arthritis],[85408:Rheumatoid_factor-negative_juvenile_idiopathic_arthritis],[169160:T-B+_severe_combined_immunodeficiency_due_to_CD3delta/CD3epsilon/CD3zeta]
CD27	939	[238505:Combined_immunodeficiency_due_to_CD27_deficiency]
CD27	ENSG00000139193	[238505:Combined_immunodeficiency_due_to_CD27_deficiency]
CD28	940	[2584:Classic_mycosis_fungoides],[3162:Sézary_syndrome]
CD28	ENSG00000178562	[2584:Classic_mycosis_fungoides],[3162:Sézary_syndrome]
CD2AP	23607	[93213:Familial_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis],[93218:Sporadic_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis]
CD2AP	ENSG00000198087	[93213:Familial_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis],[93218:Sporadic_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis]
CD320	51293	[280183:Methylmalonic_aciduria_due_to_transcobalamin_receptor_defect]
CD320	ENSG00000167775	[280183:Methylmalonic_aciduria_due_to_transcobalamin_receptor_defect]
CD3D	915	[169160:T-B+_severe_combined_immunodeficiency_due_to_CD3delta/CD3epsilon/CD3zeta]
CD3D	ENSG00000167286	[169160:T-B+_severe_combined_immunodeficiency_due_to_CD3delta/CD3epsilon/CD3zeta]
CD3E	916	[169160:T-B+_severe_combined_immunodeficiency_due_to_CD3delta/CD3epsilon/CD3zeta]
CD3E	ENSG00000198851	[169160:T-B+_severe_combined_immunodeficiency_due_to_CD3delta/CD3epsilon/CD3zeta]
CD3G	917	[169082:Combined_immunodeficiency_due_to_CD3gamma_deficiency]
CD3G	ENSG00000160654	[169082:Combined_immunodeficiency_due_to_CD3gamma_deficiency]
CD40	958	[101090:Hyper-IgM_syndrome_type_3]
CD40	ENSG00000101017	[101090:Hyper-IgM_syndrome_type_3]
CD40LG	959	[101088:X-linked_hyper-IgM_syndrome]
CD40LG	ENSG00000102245	[101088:X-linked_hyper-IgM_syndrome]
CD46	4179	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality],[244242:HELLP_syndrome]
CD46	ENSG00000117335	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality],[244242:HELLP_syndrome]
CD59	966	[169464:Primary_CD59_deficiency]
CD59	ENSG00000085063	[169464:Primary_CD59_deficiency]
CD70	970	[538958:Severe_combined_immunodeficiency_due_to_CD70_deficiency]
CD70	ENSG00000125726	[538958:Severe_combined_immunodeficiency_due_to_CD70_deficiency]
CD79A	973	[33110:Autosomal_agammaglobulinemia]
CD79A	ENSG00000105369	[33110:Autosomal_agammaglobulinemia]
CD79B	974	[33110:Autosomal_agammaglobulinemia]
CD79B	ENSG00000007312	[33110:Autosomal_agammaglobulinemia]
CD81	975	[1572:Common_variable_immunodeficiency]
CD81	ENSG00000110651	[1572:Common_variable_immunodeficiency]
CD8A	925	[169085:Susceptibility_to_respiratory_infections_associated_with_CD8alpha_chain_mutation]
CD8A	ENSG00000153563	[169085:Susceptibility_to_respiratory_infections_associated_with_CD8alpha_chain_mutation]
CD96	10225	[1308:C_syndrome]
CD96	ENSG00000153283	[1308:C_syndrome]
CDAN1	146059	[98869:Congenital_dyserythropoietic_anemia_type_I]
CDAN1	ENSG00000140326	[98869:Congenital_dyserythropoietic_anemia_type_I]
CDC14A	8556	[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB]
CDC14A	ENSG00000079335	[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB]
CDC42	998	[487796:Macrothrombocytopenia-lymphedema-developmental_delay-facial_dysmorphism-camptodactyly_syndrome]
CDC42	ENSG00000070831	[487796:Macrothrombocytopenia-lymphedema-developmental_delay-facial_dysmorphism-camptodactyly_syndrome]
CDC45	8318	[2554:Ear-patella-short_stature_syndrome]
CDC45	ENSG00000093009	[2554:Ear-patella-short_stature_syndrome]
CDC6	990	[2554:Ear-patella-short_stature_syndrome]
CDC6	ENSG00000094804	[2554:Ear-patella-short_stature_syndrome]
CDC73	79577	[99879:Familial_isolated_hyperparathyroidism],[99880:Hyperparathyroidism-jaw_tumor_syndrome],[143:Parathyroid_carcinoma]
CDC73	ENSG00000134371	[99879:Familial_isolated_hyperparathyroidism],[99880:Hyperparathyroidism-jaw_tumor_syndrome],[143:Parathyroid_carcinoma]
CDCA7	83879	[2268:ICF_syndrome]
CDCA7	ENSG00000144354	[2268:ICF_syndrome]
CDH1	999	[1997:Blepharo-cheilo-odontic_syndrome],[199306:Cleft_lip/palate],[26106:Hereditary_diffuse_gastric_cancer]
CDH1	ENSG00000039068	[1997:Blepharo-cheilo-odontic_syndrome],[199306:Cleft_lip/palate],[26106:Hereditary_diffuse_gastric_cancer]
CDH11	1009	[1299:Branchioskeletogenital_syndrome]
CDH11	ENSG00000140937	[1299:Branchioskeletogenital_syndrome]
CDH15	1013	[178469:Autosomal_dominant_non-syndromic_intellectual_disability]
CDH15	ENSG00000129910	[178469:Autosomal_dominant_non-syndromic_intellectual_disability]
CDH23	64072	[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB],[96253:Cushing_disease],[314777:Familial_isolated_pituitary_adenoma],[2965:Prolactinoma],[91347:TSH-secreting_pituitary_adenoma],[231169:Usher_syndrome_type_1]
CDH23	ENSG00000107736	[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB],[96253:Cushing_disease],[314777:Familial_isolated_pituitary_adenoma],[2965:Prolactinoma],[91347:TSH-secreting_pituitary_adenoma],[231169:Usher_syndrome_type_1]
CDH3	1001	[1897:EEM_syndrome],[1573:Hypotrichosis_with_juvenile_macular_degeneration]
CDH3	ENSG00000062038	[1897:EEM_syndrome],[1573:Hypotrichosis_with_juvenile_macular_degeneration]
CDHR1	92211	[1872:Cone_rod_dystrophy],[791:Retinitis_pigmentosa]
CDHR1	ENSG00000148600	[1872:Cone_rod_dystrophy],[791:Retinitis_pigmentosa]
CDK4	1019	[99970:Dedifferentiated_liposarcoma],[618:Familial_melanoma],[99971:Well-differentiated_liposarcoma]
CDK4	ENSG00000135446	[99970:Dedifferentiated_liposarcoma],[618:Familial_melanoma],[99971:Well-differentiated_liposarcoma]
CDK5RAP2	55755	[2512:Autosomal_recessive_primary_microcephaly]
CDK5RAP2	ENSG00000136861	[2512:Autosomal_recessive_primary_microcephaly]
CDK6	1021	[2512:Autosomal_recessive_primary_microcephaly]
CDK6	ENSG00000105810	[2512:Autosomal_recessive_primary_microcephaly]
CDKL5	6792	[3095:Atypical_Rett_syndrome],[505652:CDKL5-related_epileptic_encephalopathy],[1934:Early_infantile_epileptic_encephalopathy],[3451:West_syndrome]
CDKL5	ENSG00000008086	[3095:Atypical_Rett_syndrome],[505652:CDKL5-related_epileptic_encephalopathy],[1934:Early_infantile_epileptic_encephalopathy],[3451:West_syndrome]
CDKN1A	1026	[652:Multiple_endocrine_neoplasia_type_1]
CDKN1A	ENSG00000124762	[652:Multiple_endocrine_neoplasia_type_1]
CDKN1B	1027	[652:Multiple_endocrine_neoplasia_type_1],[276152:Multiple_endocrine_neoplasia_type_4]
CDKN1B	ENSG00000111276	[652:Multiple_endocrine_neoplasia_type_1],[276152:Multiple_endocrine_neoplasia_type_4]
CDKN1C	1028	[231120:Beckwith-Wiedemann_syndrome_due_to_CDKN1C_mutation],[85173:IMAGe_syndrome],[436144:Intrauterine_growth_restriction-short_stature-early_adult-onset_diabetes_syndrome],[397590:Silver-Russell_syndrome_due_to_a_point_mutation]
CDKN1C	ENSG00000129757	[231120:Beckwith-Wiedemann_syndrome_due_to_CDKN1C_mutation],[85173:IMAGe_syndrome],[436144:Intrauterine_growth_restriction-short_stature-early_adult-onset_diabetes_syndrome],[397590:Silver-Russell_syndrome_due_to_a_point_mutation]
CDKN2A	1029	[404560:Familial_atypical_multiple_mole_melanoma_syndrome],[618:Familial_melanoma],[1333:Familial_pancreatic_carcinoma],[524:Li-Fraumeni_syndrome],[252206:Melanoma_and_neural_system_tumor_syndrome],[99860:Precursor_B-cell_acute_lymphoblastic_leukemia],[99861:Precursor_T-cell_acute_lymphoblastic_leukemia]
CDKN2A	ENSG00000147889	[404560:Familial_atypical_multiple_mole_melanoma_syndrome],[618:Familial_melanoma],[1333:Familial_pancreatic_carcinoma],[524:Li-Fraumeni_syndrome],[252206:Melanoma_and_neural_system_tumor_syndrome],[99860:Precursor_B-cell_acute_lymphoblastic_leukemia],[99861:Precursor_T-cell_acute_lymphoblastic_leukemia]
CDKN2B	1030	[618:Familial_melanoma],[652:Multiple_endocrine_neoplasia_type_1]
CDKN2B	ENSG00000147883	[618:Familial_melanoma],[652:Multiple_endocrine_neoplasia_type_1]
CDKN2C	1031	[652:Multiple_endocrine_neoplasia_type_1]
CDKN2C	ENSG00000123080	[652:Multiple_endocrine_neoplasia_type_1]
CDON	50937	[93925:Alobar_holoprosencephaly],[93924:Lobar_holoprosencephaly],[280200:Microform_holoprosencephaly],[93926:Midline_interhemispheric_variant_of_holoprosencephaly],[95496:Pituitary_stalk_interruption_syndrome],[220386:Semilobar_holoprosencephaly],[280195:Septopreoptic_holoprosencephaly]
CDON	ENSG00000064309	[93925:Alobar_holoprosencephaly],[93924:Lobar_holoprosencephaly],[280200:Microform_holoprosencephaly],[93926:Midline_interhemispheric_variant_of_holoprosencephaly],[95496:Pituitary_stalk_interruption_syndrome],[220386:Semilobar_holoprosencephaly],[280195:Septopreoptic_holoprosencephaly]
CDSN	1041	[90368:Hypotrichosis_simplex_of_the_scalp],[263553:Peeling_skin_syndrome_type_B]
CDSN	ENSG00000204539	[90368:Hypotrichosis_simplex_of_the_scalp],[263553:Peeling_skin_syndrome_type_B]
CDT1	81620	[2554:Ear-patella-short_stature_syndrome]
CDT1	ENSG00000167513	[2554:Ear-patella-short_stature_syndrome]
CEACAM16	388551	[90635:Autosomal_dominant_non-syndromic_sensorineural_deafness_type_DFNA],[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB]
CEACAM16	ENSG00000213892	[90635:Autosomal_dominant_non-syndromic_sensorineural_deafness_type_DFNA],[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB]
CEBPA	1050	[319480:Acute_myeloid_leukemia_with_CEBPA_somatic_mutations],[102724:Acute_myeloid_leukemia_with_t(8,21)(q22,q22)_translocation],[319465:Inherited_acute_myeloid_leukemia]
CEBPA	ENSG00000245848	[319480:Acute_myeloid_leukemia_with_CEBPA_somatic_mutations],[102724:Acute_myeloid_leukemia_with_t(8,21)(q22,q22)_translocation],[319465:Inherited_acute_myeloid_leukemia]
CEBPE	1053	[169142:Recurrent_infection_due_to_specific_granule_deficiency]
CEBPE	ENSG00000092067	[169142:Recurrent_infection_due_to_specific_granule_deficiency]
CECR1	51816	[124:Blackfan-Diamond_anemia],[820:Sneddon_syndrome],[404553:Vasculitis_due_to_ADA2_deficiency]
CECR1	ENSG00000093072	[124:Blackfan-Diamond_anemia],[820:Sneddon_syndrome],[404553:Vasculitis_due_to_ADA2_deficiency]
CEL	1056	[552:MODY]
CEL	ENSG00000170835	[552:MODY]
CENPE	1062	[808:Seckel_syndrome]
CENPE	ENSG00000138778	[808:Seckel_syndrome]
CENPF	1063	[444069:Lethal_fetal_brain_malformation-duodenal_atresia-bilateral_renal_hypoplasia_syndrome],[506307:Stromme_syndrome]
CENPF	ENSG00000117724	[444069:Lethal_fetal_brain_malformation-duodenal_atresia-bilateral_renal_hypoplasia_syndrome],[506307:Stromme_syndrome]
CENPJ	55835	[2512:Autosomal_recessive_primary_microcephaly],[808:Seckel_syndrome]
CENPJ	ENSG00000151849	[2512:Autosomal_recessive_primary_microcephaly],[808:Seckel_syndrome]
CEP104	9731	[475:Joubert_syndrome]
CEP104	ENSG00000116198	[475:Joubert_syndrome]
CEP120	153241	[474:Jeune_syndrome],[475:Joubert_syndrome],[220493:Joubert_syndrome_with_ocular_defect]
CEP120	ENSG00000168944	[474:Jeune_syndrome],[475:Joubert_syndrome],[220493:Joubert_syndrome_with_ocular_defect]
CEP135	9662	[2512:Autosomal_recessive_primary_microcephaly]
CEP135	ENSG00000174799	[2512:Autosomal_recessive_primary_microcephaly]
CEP152	22995	[2512:Autosomal_recessive_primary_microcephaly],[808:Seckel_syndrome]
CEP152	ENSG00000103995	[2512:Autosomal_recessive_primary_microcephaly],[808:Seckel_syndrome]
CEP164	22897	[3156:Senior-Loken_syndrome]
CEP164	ENSG00000110274	[3156:Senior-Loken_syndrome]
CEP19	84984	[397615:Obesity_due_to_CEP19_deficiency]
CEP19	ENSG00000174007	[397615:Obesity_due_to_CEP19_deficiency]
CEP290	80184	[110:Bardet-Biedl_syndrome],[2318:Joubert_syndrome_with_oculorenal_defect],[65:Leber_congenital_amaurosis],[564:Meckel_syndrome],[3156:Senior-Loken_syndrome]
CEP290	ENSG00000198707	[110:Bardet-Biedl_syndrome],[2318:Joubert_syndrome_with_oculorenal_defect],[65:Leber_congenital_amaurosis],[564:Meckel_syndrome],[3156:Senior-Loken_syndrome]
CEP41	95681	[475:Joubert_syndrome],[220493:Joubert_syndrome_with_ocular_defect]
CEP41	ENSG00000106477	[475:Joubert_syndrome],[220493:Joubert_syndrome_with_ocular_defect]
CEP55	55165	[564:Meckel_syndrome],[500135:Multinucleated_neurons-anhydramnios-renal_dysplasia-cerebellar_hypoplasia-hydranencephaly_syndrome]
CEP55	ENSG00000138180	[564:Meckel_syndrome],[500135:Multinucleated_neurons-anhydramnios-renal_dysplasia-cerebellar_hypoplasia-hydranencephaly_syndrome]
CEP57	9702	[1052:Mosaic_variegated_aneuploidy_syndrome]
CEP57	ENSG00000166037	[1052:Mosaic_variegated_aneuploidy_syndrome]
CEP63	80254	[2512:Autosomal_recessive_primary_microcephaly]
CEP63	ENSG00000182923	[2512:Autosomal_recessive_primary_microcephaly]
CEP78	84131	[231183:Usher_syndrome_type_3]
CEP78	ENSG00000148019	[231183:Usher_syndrome_type_3]
CERKL	375298	[791:Retinitis_pigmentosa]
CERKL	ENSG00000188452	[791:Retinitis_pigmentosa]
CERS1	10715	[424027:Progressive_myoclonic_epilepsy_type_8]
CERS1	ENSG00000223802	[424027:Progressive_myoclonic_epilepsy_type_8]
CERS3	204219	[79394:Congenital_non-bullous_ichthyosiform_erythroderma],[363992:Ichthyosis-short_stature-brachydactyly-microspherophakia_syndrome]
CERS3	ENSG00000154227	[79394:Congenital_non-bullous_ichthyosiform_erythroderma],[363992:Ichthyosis-short_stature-brachydactyly-microspherophakia_syndrome]
CETP	1071	[79506:Cholesterol-ester_transfer_protein_deficiency]
CETP	ENSG00000087237	[79506:Cholesterol-ester_transfer_protein_deficiency]
CFB	629	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality]
CFB	ENSG00000243649	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality]
CFB	ENSG00000244255	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality]
CFC1	55997	[244283:Biliary_atresia_with_splenic_malformation_syndrome],[216729:Congenitally_uncorrected_transposition_of_the_great_arteries_with_cardiac_malformation],[99042:Congenitally_uncorrected_transposition_of_the_great_arteries_with_coarctation],[216718:Isolated_congenitally_uncorrected_transposition_of_the_great_arteries],[157769:Situs_ambiguus]
CFC1	ENSG00000136698	[244283:Biliary_atresia_with_splenic_malformation_syndrome],[216729:Congenitally_uncorrected_transposition_of_the_great_arteries_with_cardiac_malformation],[99042:Congenitally_uncorrected_transposition_of_the_great_arteries_with_coarctation],[216718:Isolated_congenitally_uncorrected_transposition_of_the_great_arteries],[157769:Situs_ambiguus]
CFD	1675	[169467:Recurrent_Neisseria_infections_due_to_factor_D_deficiency]
CFD	ENSG00000197766	[169467:Recurrent_Neisseria_infections_due_to_factor_D_deficiency]
CFH	3075	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality],[244275:De_novo_thrombotic_microangiopathy_after_kidney_transplantation],[93571:Dense_deposit_disease],[75376:Familial_drusen],[244242:HELLP_syndrome],[200421:Immunodeficiency_with_factor_H_anomaly],[329903:Immunoglobulin-mediated_membranoproliferative_glomerulonephritis]
CFH	ENSG00000000971	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality],[244275:De_novo_thrombotic_microangiopathy_after_kidney_transplantation],[93571:Dense_deposit_disease],[75376:Familial_drusen],[244242:HELLP_syndrome],[200421:Immunodeficiency_with_factor_H_anomaly],[329903:Immunoglobulin-mediated_membranoproliferative_glomerulonephritis]
CFHR1	3078	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies],[329931:C3_glomerulonephritis],[93571:Dense_deposit_disease]
CFHR1	ENSG00000244414	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies],[329931:C3_glomerulonephritis],[93571:Dense_deposit_disease]
CFHR3	10878	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies]
CFHR3	ENSG00000116785	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies]
CFHR4	10877	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies]
CFHR4	ENSG00000134365	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies]
CFHR5	81494	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies],[329931:C3_glomerulonephritis]
CFHR5	ENSG00000134389	[93581:Atypical_hemolytic_uremic_syndrome_with_anti-factor_H_antibodies],[329931:C3_glomerulonephritis]
CFI	3426	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality],[244275:De_novo_thrombotic_microangiopathy_after_kidney_transplantation],[75376:Familial_drusen],[244242:HELLP_syndrome],[200418:Immunodeficiency_with_factor_I_anomaly]
CFI	ENSG00000205403	[544472:Atypical_hemolytic_uremic_syndrome_with_complement_gene_abnormality],[244275:De_novo_thrombotic_microangiopathy_after_kidney_transplantation],[75376:Familial_drusen],[244242:HELLP_syndrome],[200418:Immunodeficiency_with_factor_I_anomaly]
CFL2	1073	[171436:Typical_nemaline_myopathy]
CFL2	ENSG00000165410	[171436:Typical_nemaline_myopathy]
CFP	5199	[2966:Properdin_deficiency]
CFP	ENSG00000126759	[2966:Properdin_deficiency]
CFTR	1080	[498359:Aquagenic_palmoplantar_keratoderma],[48:Congenital_bilateral_absence_of_vas_deferens],[586:Cystic_fibrosis],[676:Hereditary_chronic_pancreatitis],[60033:Idiopathic_bronchiectasis],[399805:Male_infertility_with_azoospermia_or_oligozoospermia_due_to_single_gene_mutation]
CFTR	ENSG00000001626	[498359:Aquagenic_palmoplantar_keratoderma],[48:Congenital_bilateral_absence_of_vas_deferens],[586:Cystic_fibrosis],[676:Hereditary_chronic_pancreatitis],[60033:Idiopathic_bronchiectasis],[399805:Male_infertility_with_azoospermia_or_oligozoospermia_due_to_single_gene_mutation]
CHAMP1	283489	[178469:Autosomal_dominant_non-syndromic_intellectual_disability]
CHAMP1	ENSG00000198824	[178469:Autosomal_dominant_non-syndromic_intellectual_disability]
CHAT	1103	[98914:Presynaptic_congenital_myasthenic_syndromes]
CHAT	ENSG00000070748	[98914:Presynaptic_congenital_myasthenic_syndromes]
CHCHD10	400916	[803:Amyotrophic_lateral_sclerosis],[457050:Autosomal_dominant_mitochondrial_myopathy_with_exercise_intolerance],[275872:Frontotemporal_dementia_with_motor_neuron_disease],[276435:Lower_motor_neuron_syndrome_with_late-adult_onset]
CHCHD10	ENSG00000250479	[803:Amyotrophic_lateral_sclerosis],[457050:Autosomal_dominant_mitochondrial_myopathy_with_exercise_intolerance],[275872:Frontotemporal_dementia_with_motor_neuron_disease],[276435:Lower_motor_neuron_syndrome_with_late-adult_onset]
CHD1	1105	[529965:Intellectual_disability-autism-speech_apraxia-craniofacial_dysmorphism_syndrome]
CHD1	ENSG00000153922	[529965:Intellectual_disability-autism-speech_apraxia-craniofacial_dysmorphism_syndrome]
CHD2	1106	[2382:Lennox-Gastaut_syndrome],[1942:Myoclonic-astastic_epilepsy]
CHD2	ENSG00000173575	[2382:Lennox-Gastaut_syndrome],[1942:Myoclonic-astastic_epilepsy]
CHD7	55636	[138:CHARGE_syndrome],[478:Kallmann_syndrome],[432:Normosmic_congenital_hypogonadotropic_hypogonadism],[39041:Omenn_syndrome]
CHD7	ENSG00000171316	[138:CHARGE_syndrome],[478:Kallmann_syndrome],[432:Normosmic_congenital_hypogonadotropic_hypogonadism],[39041:Omenn_syndrome]
CHEK2	11200	[1331:Familial_prostate_cancer],[145:Hereditary_breast_and_ovarian_cancer_syndrome],[524:Li-Fraumeni_syndrome],[668:Osteosarcoma]
CHEK2	ENSG00000183765	[1331:Familial_prostate_cancer],[145:Hereditary_breast_and_ovarian_cancer_syndrome],[524:Li-Fraumeni_syndrome],[668:Osteosarcoma]
CHKB	1120	[280671:Megaconial_congenital_muscular_dystrophy],[521305:Proximal_myopathy_with_focal_depletion_of_mitochondria]
CHKB	ENSG00000100288	[280671:Megaconial_congenital_muscular_dystrophy],[521305:Proximal_myopathy_with_focal_depletion_of_mitochondria]
CHM	1121	[180:Choroideremia]
CHM	ENSG00000188419	[180:Choroideremia]
CHMP1A	5119	[324569:Pontocerebellar_hypoplasia_type_8]
CHMP1A	ENSG00000131165	[324569:Pontocerebellar_hypoplasia_type_8]
CHMP2B	25978	[803:Amyotrophic_lateral_sclerosis],[275864:Behavioral_variant_of_frontotemporal_dementia],[100070:Progressive_non-fluent_aphasia],[100069:Semantic_dementia]
CHMP2B	ENSG00000083937	[803:Amyotrophic_lateral_sclerosis],[275864:Behavioral_variant_of_frontotemporal_dementia],[100070:Progressive_non-fluent_aphasia],[100069:Semantic_dementia]
CHMP4B	128866	[98993:Early-onset_posterior_polar_cataract],[441447:Early-onset_posterior_subcapsular_cataract]
CHMP4B	ENSG00000101421	[98993:Early-onset_posterior_polar_cataract],[441447:Early-onset_posterior_subcapsular_cataract]
CHN1	1123	[233:Duane_retraction_syndrome]
CHN1	ENSG00000128656	[233:Duane_retraction_syndrome]
CHRDL1	91851	[91489:Isolated_congenital_megalocornea]
CHRDL1	ENSG00000101938	[91489:Isolated_congenital_megalocornea]
CHRM3	1131	[2970:Prune_belly_syndrome]
CHRM3	ENSG00000133019	[2970:Prune_belly_syndrome]
CHRNA1	1134	[33108:Lethal_multiple_pterygium_syndrome],[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNA1	ENSG00000138435	[33108:Lethal_multiple_pterygium_syndrome],[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNA2	1135	[98784:Autosomal_dominant_nocturnal_frontal_lobe_epilepsy]
CHRNA2	ENSG00000120903	[98784:Autosomal_dominant_nocturnal_frontal_lobe_epilepsy]
CHRNA4	1137	[98784:Autosomal_dominant_nocturnal_frontal_lobe_epilepsy]
CHRNA4	ENSG00000101204	[98784:Autosomal_dominant_nocturnal_frontal_lobe_epilepsy]
CHRNA7	1139	[199318:15q13.3_microdeletion_syndrome]
CHRNA7	ENSG00000175344	[199318:15q13.3_microdeletion_syndrome]
CHRNB1	1140	[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNB1	ENSG00000170175	[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNB2	1141	[98784:Autosomal_dominant_nocturnal_frontal_lobe_epilepsy]
CHRNB2	ENSG00000160716	[98784:Autosomal_dominant_nocturnal_frontal_lobe_epilepsy]
CHRND	1144	[33108:Lethal_multiple_pterygium_syndrome],[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRND	ENSG00000135902	[33108:Lethal_multiple_pterygium_syndrome],[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNE	1145	[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNE	ENSG00000108556	[98913:Postsynaptic_congenital_myasthenic_syndromes],[98913:Postsynaptic_congenital_myasthenic_syndromes]
CHRNG	1146	[2990:Autosomal_recessive_multiple_pterygium_syndrome],[33108:Lethal_multiple_pterygium_syndrome]
CHRNG	ENSG00000196811	[2990:Autosomal_recessive_multiple_pterygium_syndrome],[33108:Lethal_multiple_pterygium_syndrome]
